energy[keV],transmission
1.00000,0.0698202
1.10000,0.128158
1.20000,0.198141
1.30000,0.273029
1.40000,0.347916
1.50000,0.418417
1.60000,0.398572
1.70000,0.458411
1.80000,0.513437
1.90000,0.563266
2.00000,0.607601
2.10000,0.647312
2.20000,0.682716
2.30000,0.713984
2.40000,0.741887
2.50000,0.766462
2.60000,0.788348
2.70000,0.807778
2.80000,0.824995
2.90000,0.840354
3.00000,0.854124
3.10000,0.866417
3.20000,0.877425
3.30000,0.887307
3.40000,0.896199
3.50000,0.904223
3.60000,0.911478
3.70000,0.918050
3.80000,0.924012
3.90000,0.929432
4.00000,0.934363
4.10000,0.938854
4.20000,0.942950
4.30000,0.946717
4.40000,0.950175
4.50000,0.953340
4.60000,0.956238
4.70000,0.958893
4.80000,0.961377
4.90000,0.963658
5.00000,0.965753
5.10000,0.967698
5.20000,0.969514
5.30000,0.971185
5.40000,0.972738
5.50000,0.974197
5.60000,0.975539
5.70000,0.976801
5.80000,0.977980
5.90000,0.979067
6.00000,0.980107
6.10000,0.981064
6.20000,0.981970
6.30000,0.982817
6.40000,0.983609
6.50000,0.984361
6.60000,0.985059
6.70000,0.985727
6.80000,0.986345
6.90000,0.986940
7.00000,0.987489
7.10000,0.988021
7.20000,0.988512
7.30000,0.988987
7.40000,0.989427
7.50000,0.989852
7.60000,0.990249
7.70000,0.990630
7.80000,0.990989
7.90000,0.991330
8.00000,0.991656
8.10000,0.991961
8.20000,0.992258
8.30000,0.992534
8.40000,0.992804
8.50000,0.993057
8.60000,0.993299
8.70000,0.993531
8.80000,0.993748
8.90000,0.993963
9.00000,0.994163
9.10000,0.994355
9.20000,0.994540
9.30000,0.994714
9.40000,0.994884
9.50000,0.995046
9.60000,0.995198
9.70000,0.995349
9.80000,0.995490
9.90000,0.995626
10.0000,0.995758
10.1000,0.995883
10.2000,0.996004
10.3000,0.996121
10.4000,0.996231
10.5000,0.996339
10.6000,0.996442
10.7000,0.996541
10.8000,0.996636
10.9000,0.996729
11.0000,0.996817
11.1000,0.996902
11.2000,0.996985
11.3000,0.997064
11.4000,0.997139
11.5000,0.997214
11.6000,0.997285
11.7000,0.997352
11.8000,0.997420
11.9000,0.997484
12.0000,0.997545
12.1000,0.997605
12.2000,0.997663
12.3000,0.997719
12.4000,0.997772
12.5000,0.997825
12.6000,0.997876
12.7000,0.997924
12.8000,0.997971
12.9000,0.998017
13.0000,0.998062
13.1000,0.998104
13.2000,0.998146
13.3000,0.998187
13.4000,0.998225
13.5000,0.998263
13.6000,0.998300
13.7000,0.998336
13.8000,0.998370
13.9000,0.998403
14.0000,0.998436
14.1000,0.998468
14.2000,0.998498
14.3000,0.998528
14.4000,0.998557
14.5000,0.998585
14.6000,0.998613
14.7000,0.998639
14.8000,0.998665
14.9000,0.998690
15.0000,0.998714
15.1000,0.998738
15.2000,0.998761
15.3000,0.998784
15.4000,0.998806
15.5000,0.998827
15.6000,0.998847
15.7000,0.998868
15.8000,0.998887
15.9000,0.998906
16.0000,0.998925
16.1000,0.998943
16.2000,0.998961
16.3000,0.998978
16.4000,0.998995
16.5000,0.999011
16.6000,0.999027
16.7000,0.999043
16.8000,0.999058
16.9000,0.999073
17.0000,0.999087
17.1000,0.999101
17.2000,0.999115
17.3000,0.999128
17.4000,0.999141
17.5000,0.999154
17.6000,0.999166
17.7000,0.999179
17.8000,0.999191
17.9000,0.999202
18.0000,0.999213
18.1000,0.999224
18.2000,0.999235
18.3000,0.999246
18.4000,0.999256
18.5000,0.999266
18.6000,0.999276
18.7000,0.999286
18.8000,0.999295
18.9000,0.999304
19.0000,0.999313
19.1000,0.999322
19.2000,0.999331
19.3000,0.999339
19.4000,0.999347
19.5000,0.999355
19.6000,0.999363
19.7000,0.999371
19.8000,0.999378
19.9000,0.999385
20.0000,0.999392
20.1000,0.999399
20.2000,0.999406
20.3000,0.999413
20.4000,0.999420
20.5000,0.999427
20.6000,0.999433
20.7000,0.999439
20.8000,0.999446
20.9000,0.999452
21.0000,0.999458
21.1000,0.999464
21.2000,0.999469
21.3000,0.999475
21.4000,0.999480
21.5000,0.999486
21.6000,0.999491
21.7000,0.999496
21.8000,0.999501
21.9000,0.999506
22.0000,0.999511
22.1000,0.999516
22.2000,0.999521
22.3000,0.999525
22.4000,0.999530
22.5000,0.999534
22.6000,0.999538
22.7000,0.999543
22.8000,0.999547
22.9000,0.999551
23.0000,0.999555
23.1000,0.999559
23.2000,0.999563
23.3000,0.999567
23.4000,0.999570
23.5000,0.999574
23.6000,0.999578
23.7000,0.999581
23.8000,0.999585
23.9000,0.999588
24.0000,0.999592
24.1000,0.999595
24.2000,0.999598
24.3000,0.999601
24.4000,0.999604
24.5000,0.999607
24.6000,0.999610
24.7000,0.999613
24.8000,0.999616
24.9000,0.999619
25.0000,0.999622
25.1000,0.999625
25.2000,0.999627
25.3000,0.999630
25.4000,0.999633
25.5000,0.999635
25.6000,0.999638
25.7000,0.999640
25.8000,0.999643
25.9000,0.999645
26.0000,0.999648
26.1000,0.999650
26.2000,0.999652
26.3000,0.999655
26.4000,0.999657
26.5000,0.999659
26.6000,0.999661
26.7000,0.999663
26.8000,0.999665
26.9000,0.999667
27.0000,0.999669
27.1000,0.999671
27.2000,0.999673
27.3000,0.999675
27.4000,0.999677
27.5000,0.999679
27.6000,0.999681
27.7000,0.999683
27.8000,0.999684
27.9000,0.999686
28.0000,0.999688
28.1000,0.999690
28.2000,0.999691
28.3000,0.999693
28.4000,0.999694
28.5000,0.999696
28.6000,0.999698
28.7000,0.999699
28.8000,0.999701
28.9000,0.999702
29.0000,0.999704
29.1000,0.999705
29.2000,0.999707
29.3000,0.999708
29.4000,0.999709
29.5000,0.999711
29.6000,0.999712
29.7000,0.999713
29.8000,0.999715
29.9000,0.999716
30.0000,0.999717
30.1000,0.999719
30.2000,0.999720
30.3000,0.999721
30.4000,0.999722
30.5000,0.999724
30.6000,0.999725
30.7000,0.999726
30.8000,0.999727
30.9000,0.999728
