energy[keV],transmission,transmission_lb,transmission_ub
1.00000,1.66922e-25,9.63033e-27,2.89326e-24
1.10000,7.79929e-20,8.64287e-21,7.03807e-19
1.20000,9.43439e-16,1.67282e-16,5.32082e-15
1.30000,8.42049e-13,2.09703e-13,3.38119e-12
1.40000,1.31388e-10,4.21196e-11,4.09854e-10
1.50000,6.52953e-09,2.54464e-09,1.67547e-08
1.60000,0.00000,0.00000,0.00000
1.70000,0.00000,0.00000,0.00000
1.80000,0.00000,0.00000,0.00000
1.90000,0.00000,0.00000,0.00000
2.00000,0.00000,0.00000,1.40130e-45
2.10000,1.16588e-42,9.80909e-45,1.45700e-40
2.20000,6.43136e-38,8.88624e-40,4.65466e-36
2.30000,7.26029e-34,1.59957e-35,3.29540e-32
2.40000,2.38825e-30,7.88832e-32,7.23065e-29
2.50000,2.55115e-27,1.19419e-28,5.45002e-26
2.60000,1.12525e-24,7.14187e-26,1.77291e-23
2.70000,2.29538e-22,1.90064e-23,2.77212e-21
2.80000,2.39793e-20,2.50512e-21,2.29533e-19
2.90000,1.44377e-18,1.85129e-19,1.12596e-17
3.00000,5.47998e-17,8.42787e-18,3.56320e-16
3.10000,1.36938e-15,2.47373e-16,7.58052e-15
3.20000,2.39277e-14,4.98708e-15,1.14804e-13
3.30000,3.07081e-13,7.27135e-14,1.29685e-12
3.40000,3.01535e-12,8.00396e-13,1.13598e-11
3.50000,2.34522e-11,6.89753e-12,7.97398e-11
3.60000,1.48719e-10,4.79717e-11,4.61050e-10
3.70000,7.87976e-10,2.76273e-10,2.24743e-09
3.80000,3.56099e-09,1.34632e-09,9.41873e-09
3.90000,1.39780e-08,5.65871e-09,3.45280e-08
4.00000,4.84151e-08,2.08559e-08,1.12391e-07
4.10000,1.49953e-07,6.83521e-08,3.28970e-07
4.20000,4.20067e-07,2.01597e-07,8.75292e-07
4.30000,1.08274e-06,5.44815e-07,2.15177e-06
4.40000,2.58338e-06,1.35768e-06,4.91564e-06
4.50000,5.72872e-06,3.13300e-06,1.04750e-05
4.60000,1.18860e-05,6.74197e-06,2.09548e-05
4.70000,2.32111e-05,1.36138e-05,3.95740e-05
4.80000,4.34131e-05,2.62725e-05,7.17364e-05
4.90000,7.72049e-05,4.80869e-05,0.000123955
5.00000,0.000131094,8.38424e-05,0.000204977
5.10000,0.000214449,0.000140569,0.000327158
5.20000,0.000339679,0.000227836,0.000506426
5.30000,0.000518929,0.000355520,0.000757448
5.40000,0.000769913,0.000537978,0.00110184
5.50000,0.00111556,0.000794084,0.00156717
5.60000,0.00157044,0.00113716,0.00216880
5.70000,0.00216636,0.00159410,0.00294404
5.80000,0.00292701,0.00218648,0.00391835
5.90000,0.00386590,0.00292828,0.00510373
6.00000,0.00504494,0.00387257,0.00657224
6.10000,0.00644976,0.00501211,0.00829978
6.20000,0.00814023,0.00639983,0.0103539
6.30000,0.0101228,0.00804572,0.0127361
6.40000,0.0124186,0.00997188,0.0154657
6.50000,0.0150778,0.0122252,0.0185961
6.60000,0.0180609,0.0147767,0.0220751
6.70000,0.0214743,0.0177221,0.0260210
6.80000,0.0252062,0.0209692,0.0302992
6.90000,0.0294259,0.0246698,0.0350989
7.00000,0.0339478,0.0286650,0.0402042
7.10000,0.0389961,0.0331567,0.0458638
7.20000,0.0443258,0.0379306,0.0517992
7.30000,0.0501953,0.0432211,0.0582948
7.40000,0.0563307,0.0487846,0.0650441
7.50000,0.0629856,0.0548533,0.0723234
7.60000,0.0699061,0.0611986,0.0798527
7.70000,0.0772845,0.0679981,0.0878391
7.80000,0.0849536,0.0751001,0.0960998
7.90000,0.0929717,0.0825597,0.104697
8.00000,0.101340,0.0903800,0.113630
8.10000,0.109899,0.0984107,0.122728
8.20000,0.118913,0.106904,0.132272
8.30000,0.127970,0.115469,0.141825
8.40000,0.137501,0.124514,0.151841
8.50000,0.147096,0.133653,0.161890
8.60000,0.156919,0.143040,0.172143
8.70000,0.166987,0.152692,0.182620
8.80000,0.176984,0.162305,0.192991
8.90000,0.187460,0.172407,0.203828
9.00000,0.197830,0.182434,0.214525
9.10000,0.208335,0.192620,0.225333
9.20000,0.219021,0.203006,0.236299
9.30000,0.229544,0.213260,0.247072
9.40000,0.240385,0.223847,0.258144
9.50000,0.251135,0.234370,0.269099
9.60000,0.261760,0.244793,0.279904
9.70000,0.272696,0.255542,0.291001
9.80000,0.283400,0.266085,0.301842
9.90000,0.294085,0.276628,0.312643
10.0000,0.304908,0.287328,0.323564
10.1000,0.315475,0.297793,0.334208
10.2000,0.326087,0.308319,0.344879
10.3000,0.336726,0.318889,0.355560
10.4000,0.347090,0.329204,0.365949
10.5000,0.357512,0.339590,0.376379
10.6000,0.367899,0.349957,0.386761
10.7000,0.378001,0.360054,0.396843
10.8000,0.388131,0.370193,0.406939
10.9000,0.398226,0.380309,0.416988
11.0000,0.408030,0.390145,0.426734
11.1000,0.417788,0.399948,0.436424
11.2000,0.427562,0.409778,0.446117
11.3000,0.437042,0.419323,0.455509
11.4000,0.446362,0.428718,0.464733
11.5000,0.455795,0.438236,0.474058
11.6000,0.464936,0.447469,0.483085
11.7000,0.473796,0.456427,0.491826
11.8000,0.482851,0.465591,0.500752
11.9000,0.491647,0.474499,0.509413
12.0000,0.500165,0.483136,0.517795
12.1000,0.508682,0.491777,0.526167
12.2000,0.517131,0.500358,0.534467
12.3000,0.525308,0.508669,0.542492
12.4000,0.533259,0.516756,0.550290
12.5000,0.541363,0.525004,0.558231
12.6000,0.549201,0.532988,0.565907
12.7000,0.556786,0.540721,0.573329
12.8000,0.564336,0.548422,0.580712
12.9000,0.571852,0.556093,0.588057
13.0000,0.579121,0.563518,0.595156
13.1000,0.586156,0.570708,0.602022
13.2000,0.593276,0.577989,0.608967
13.3000,0.600237,0.585112,0.615753
13.4000,0.606970,0.592005,0.622313
13.5000,0.613487,0.598681,0.628659
13.6000,0.620156,0.605517,0.635150
13.7000,0.626605,0.612130,0.641422
13.8000,0.632843,0.618530,0.647487
13.9000,0.638914,0.624762,0.653387
14.0000,0.645091,0.631105,0.659386
14.1000,0.651064,0.637243,0.665185
14.2000,0.656843,0.643183,0.670793
14.3000,0.662463,0.648962,0.676244
14.4000,0.668189,0.654854,0.681796
14.5000,0.673728,0.660555,0.687164
14.6000,0.679088,0.666073,0.692356
14.7000,0.684276,0.671418,0.697381
14.8000,0.689572,0.676875,0.702507
14.9000,0.694710,0.682172,0.707479
15.0000,0.699683,0.687300,0.712289
15.1000,0.704499,0.692268,0.716945
15.2000,0.709350,0.697274,0.721635
15.3000,0.714128,0.702206,0.726252
15.4000,0.718753,0.706982,0.730719
15.5000,0.723232,0.711609,0.735045
15.6000,0.727649,0.716173,0.739309
15.7000,0.732092,0.720766,0.743597
15.8000,0.736395,0.725214,0.747748
15.9000,0.740562,0.729524,0.751767
16.0000,0.744601,0.733702,0.755661
16.1000,0.748696,0.737940,0.759609
16.2000,0.752705,0.742089,0.763472
16.3000,0.756588,0.746109,0.767214
16.4000,0.760352,0.750007,0.770840
16.5000,0.764038,0.753826,0.774390
16.6000,0.767779,0.757702,0.777991
16.7000,0.771404,0.761458,0.781480
16.8000,0.774918,0.765101,0.784862
16.9000,0.778327,0.768635,0.788141
17.0000,0.781709,0.772143,0.791394
17.1000,0.785098,0.775657,0.794653
17.2000,0.788383,0.779066,0.797812
17.3000,0.791570,0.782373,0.800875
17.4000,0.794663,0.785583,0.803848
17.5000,0.797750,0.788788,0.806814
17.6000,0.800828,0.791984,0.809772
17.7000,0.803815,0.795085,0.812640
17.8000,0.806713,0.798096,0.815423
17.9000,0.809527,0.801019,0.818125
18.0000,0.812330,0.803932,0.820816
18.1000,0.815134,0.806845,0.823507
18.2000,0.817855,0.809674,0.826119
18.3000,0.820498,0.812421,0.828654
18.4000,0.823065,0.815090,0.831117
18.5000,0.825596,0.817722,0.833545
18.6000,0.828155,0.820384,0.836000
18.7000,0.830641,0.822970,0.838383
18.8000,0.833056,0.825483,0.840699
18.9000,0.835404,0.827925,0.842949
19.0000,0.837686,0.830301,0.845137
19.1000,0.840018,0.832728,0.847372
19.2000,0.842295,0.835098,0.849554
19.3000,0.844508,0.837402,0.851674
19.4000,0.846660,0.839643,0.853736
19.5000,0.848753,0.841823,0.855741
19.6000,0.850840,0.843996,0.857740
19.7000,0.852938,0.846181,0.859749
19.8000,0.854978,0.848306,0.861702
19.9000,0.856962,0.850373,0.863602
20.0000,0.858893,0.852385,0.865450
20.1000,0.860772,0.854344,0.867249
20.2000,0.862673,0.856325,0.869069
20.3000,0.864546,0.858277,0.870861
20.4000,0.866369,0.860177,0.872605
20.5000,0.868143,0.862027,0.874302
20.6000,0.869870,0.863828,0.875955
20.7000,0.871553,0.865583,0.877565
20.8000,0.873274,0.867377,0.879210
20.9000,0.874954,0.869129,0.880817
21.0000,0.876590,0.870836,0.882382
21.1000,0.878184,0.872499,0.883907
21.2000,0.879738,0.874120,0.885392
21.3000,0.881253,0.875700,0.886840
21.4000,0.882801,0.877316,0.888320
21.5000,0.884314,0.878894,0.889766
21.6000,0.885788,0.880433,0.891175
21.7000,0.887225,0.881933,0.892549
21.8000,0.888626,0.883395,0.893888
21.9000,0.889993,0.884822,0.895195
22.0000,0.891380,0.886270,0.896520
22.1000,0.892747,0.887697,0.897825
22.2000,0.894080,0.889089,0.899099
22.3000,0.895380,0.890446,0.900341
22.4000,0.896648,0.891771,0.901552
22.5000,0.897887,0.893064,0.902735
22.6000,0.899122,0.894354,0.903915
22.7000,0.900360,0.895648,0.905098
22.8000,0.901569,0.896910,0.906252
22.9000,0.902749,0.898143,0.907379
23.0000,0.903901,0.899346,0.908478
23.1000,0.905025,0.900521,0.909552
23.2000,0.906124,0.901669,0.910601
23.3000,0.907246,0.902841,0.911672
23.4000,0.908345,0.903989,0.912722
23.5000,0.909419,0.905111,0.913746
23.6000,0.910467,0.906207,0.914747
23.7000,0.911492,0.907278,0.915725
23.8000,0.912494,0.908325,0.916681
23.9000,0.913482,0.909358,0.917625
24.0000,0.914485,0.910407,0.918582
24.1000,0.915465,0.911431,0.919517
24.2000,0.916422,0.912432,0.920430
24.3000,0.917358,0.913411,0.921323
24.4000,0.918274,0.914368,0.922197
24.5000,0.919169,0.915304,0.923051
24.6000,0.920057,0.916232,0.923898
24.7000,0.920954,0.917170,0.924753
24.8000,0.921830,0.918086,0.925589
24.9000,0.922688,0.918983,0.926407
25.0000,0.923527,0.919860,0.927207
25.1000,0.924347,0.920719,0.927990
25.2000,0.925151,0.921559,0.928757
25.3000,0.925944,0.922389,0.929513
25.4000,0.926749,0.923230,0.930280
25.5000,0.927536,0.924054,0.931031
25.6000,0.928307,0.924860,0.931766
25.7000,0.929061,0.925650,0.932486
25.8000,0.929800,0.926422,0.933190
25.9000,0.930524,0.927179,0.933880
26.0000,0.931232,0.927921,0.934556
26.1000,0.931953,0.928675,0.935243
26.2000,0.932663,0.929418,0.935919
26.3000,0.933358,0.930145,0.936582
26.4000,0.934039,0.930857,0.937231
26.5000,0.934706,0.931555,0.937867
26.6000,0.935360,0.932240,0.938490
26.7000,0.936000,0.932910,0.939101
26.8000,0.936638,0.933577,0.939708
26.9000,0.937279,0.934249,0.940320
27.0000,0.937908,0.934907,0.940919
27.1000,0.938524,0.935552,0.941506
27.2000,0.939128,0.936184,0.942082
27.3000,0.939721,0.936804,0.942647
27.4000,0.940302,0.937412,0.943200
27.5000,0.940872,0.938009,0.943743
27.6000,0.941444,0.938608,0.944289
27.7000,0.942015,0.939205,0.944832
27.8000,0.942574,0.939791,0.945365
27.9000,0.943123,0.940365,0.945888
28.0000,0.943661,0.940929,0.946401
28.1000,0.944189,0.941482,0.946904
28.2000,0.944707,0.942025,0.947398
28.3000,0.945216,0.942557,0.947883
28.4000,0.945728,0.943093,0.948370
28.5000,0.946237,0.943626,0.948855
28.6000,0.946737,0.944149,0.949331
28.7000,0.947227,0.944663,0.949799
28.8000,0.947709,0.945167,0.950257
28.9000,0.948182,0.945663,0.950708
29.0000,0.948646,0.946149,0.951150
29.1000,0.949102,0.946627,0.951585
29.2000,0.949558,0.947103,0.952018
29.3000,0.950014,0.947581,0.952453
29.4000,0.950462,0.948050,0.952879
29.5000,0.950902,0.948511,0.953298
29.6000,0.951334,0.948964,0.953710
29.7000,0.951758,0.949408,0.954114
29.8000,0.952176,0.949845,0.954512
29.9000,0.952586,0.950275,0.954902
30.0000,0.952989,0.950697,0.955286
30.1000,0.953386,0.951113,0.955664
30.2000,0.953775,0.951521,0.956035
30.3000,0.954159,0.951923,0.956400
30.4000,0.954536,0.952317,0.956759
30.5000,0.954906,0.952706,0.957112
30.6000,0.955271,0.953088,0.957459
30.7000,0.955630,0.953464,0.957801
30.8000,0.955984,0.953834,0.958138
30.9000,0.956331,0.954199,0.958469
